"","lat","lon","lat1","lon1","lat2","lon2","lat3","lon3","lat4","lon4","lat5","lon5","lat6","lon6","lat7","lon7","lat8","lon8","lat9","lon9","lat10","lon10","lat11","lon11","lat12","lon12","lat13","lon13","lat14","lon14","lat15","lon15","lat16","lon16","lat17","lon17","lat18","lon18","lat19","lon19","lat20","lon20","lat21","lon21","lat22","lon22","lat23","lon23","lat24","lon24","lat25","lon25","lat26","lon26"
"1",1.9,179.6,3,159.5,7.5,130.7,4.6,148.2,16,118.8,17.1,117.1,8.2,153.8,10.5,135.7,3.6,148.9,12.8,129.3,8.6,149,7.4,154.4,20.8,125.4,19,138.4,10.3,149.5,20,129.8,15.1,138.9,18.4,117.1,25.9,131,14.9,130.2,17.2,146.4,11.7,112.2,9.4,101.4,11.6,132.4,11.2,139.5,13.3,171.9,11.6,140.6
"2",1.9,179,3.4,160,7.7,130.6,5.2,148.6,16.3,118.8,17.2,117,8.1,152.2,10.4,134.5,3.6,147.7,13.9,128.1,8.6,148,8,153.4,22.8,124.8,18.3,138.1,11.3,148.4,20.7,129.2,15.6,138.1,18.2,116.7,26.2,131.3,15.2,130.2,17.6,146.1,12,112.5,9.5,101.4,11.8,131.7,11.5,137.8,13.7,171.5,12.1,139.3
"3",1.8,178.5,3.7,160.2,7.8,130.4,5.8,149,16.5,118.6,17.4,117,8.2,151.4,10.2,133.3,3.7,146.5,14.9,127,8.6,147.1,8.7,152.4,24.3,123.4,17.5,137.6,12.6,147.6,21.4,128.5,15.9,137.1,18,116.2,26.9,131.5,15.3,130.3,18,145.8,11.9,113.3,9.6,101.4,12.1,130.9,11.8,135.9,14,171.1,12.6,138.1
"4",1.6,178,4.1,160.4,7.8,130.2,6.3,149.3,16.5,118.3,17.6,117.2,8.2,150.8,10,132.1,4.3,145.6,15.6,126.5,8.6,146.3,9.2,151.4,25.8,122.2,16.7,136.7,13,146.1,21.7,127.4,16.6,136.2,17.7,115.7,27.7,131.1,15.4,130.4,18.5,145.3,11.9,114.1,9.7,101.3,12.3,130.2,12,134,14.2,170.6,13.1,137
"5",1.3,177.6,4.6,160.6,7.9,130,6.7,149.8,16.4,118.1,17.9,117.5,8.3,150.2,10,130.9,5.1,144.9,16.1,126.2,8.7,145.3,9.6,150.7,27.2,120.9,16.3,136,13.5,144.6,22.7,127.2,16.6,135.4,17.3,115.2,28.4,130.5,15.5,130.6,19,144.6,11.8,114.9,9.9,101.3,12.6,129.4,12.2,132.1,14.2,170,13.3,135.8
"6",1.6,177.2,5.4,160.6,8.1,130,6.8,150.4,16.1,118.1,18.5,118.2,8.4,149.7,10.1,129.8,5.8,144.1,16.5,126,9.1,144.4,10,150.1,28.3,119.5,16.3,135.3,14.1,143.3,23.7,127.5,15.8,135.6,17,115,29.1,129.8,15.6,130.8,19.4,143.9,11.6,115.8,10.1,101.1,13,128.7,12.3,130.2,14.2,169.2,13.5,134.6
"7",1.9,176.8,6.5,160.4,8.6,130.4,6.9,150.8,16,118.4,19.2,118.9,8.6,149.1,10.3,128.8,6.6,143.2,16.9,125.9,9.7,143.5,10.4,149.5,29.8,118.3,16,134.9,14.6,142.1,24.9,127.7,16.4,136.1,17.1,115.3,29.6,129.6,15.7,131,19.7,143.5,11.4,116.7,10.4,101,13.5,127.8,12.3,128.3,14.2,168.4,13.7,133.4
"8",2.4,176.2,7.5,159.7,9.1,130.9,7.3,151,16.1,118.7,20,119.6,8.7,148.4,10.6,127.8,7.4,142.2,17.4,125.8,10.2,142.4,10.8,148.9,30.5,117.5,15.8,134.5,15.2,141,26,128,17.2,136.2,17.4,115.4,30.3,129.8,15.9,131,20.1,143.1,11.1,117.9,10.7,101,14,126.9,12.3,126.4,13.9,167.6,13.7,132.2
"9",3.1,175.1,8.1,159,9.6,131.2,7.7,150.8,16.1,119,20.8,120.8,8.8,147.4,10.9,126.8,8.2,141.1,18.3,125.6,10.9,141.5,11.6,148,NA,NA,15.8,134.1,15.9,140,27,128.2,17.9,136.4,17.7,115.4,31.1,130.1,16.2,131,20.5,142.8,10.9,119.2,11,101.1,14.7,125.9,12.2,124.5,13.3,167.2,13.7,131
"10",4.1,173.4,8.6,158.3,10.2,131.3,8,150.6,16.1,119.4,21.5,122,8.9,146.3,11,125.7,8.8,140.2,18.9,124.9,11.6,140.7,12.5,147,NA,NA,16.3,134.3,16.7,138.9,27.8,128.8,18.5,136.7,18,115.4,32.1,131.5,16.4,131.1,21,143.2,10.9,120.6,11.4,101,15.3,124.7,12.1,122.7,12.7,167,13.8,130
"11",5.1,171.5,9.1,157.6,10.8,131.1,8.4,150.4,16.1,119.8,22.2,123.3,9.1,145.4,11,124.5,9.3,139.4,19.6,124.1,12.4,139.9,13.3,145.9,NA,NA,16.7,133.7,17.4,137.7,28.4,129.7,19.3,137.4,18.3,115.3,33,133.5,16.6,131.2,21.3,143.8,11,121.4,11.7,100.8,15.9,123.6,12.1,121.1,12.1,166.9,13.8,129.3
